日期,确诊总数,治愈总数,死亡人数,感染死亡率,感染治愈率,住院死亡率,住院治愈率
20200704,85306,80143,0,0.0,0.9394767073828335,0.0,1.0
20200705,85320,80157,0,0.0,0.9394866385372714,0.0,1.0
20200706,85345,80168,0,0.0,0.9393403245650008,0.0,1.0
20200707,85366,80192,0,0.0,0.9393903896164749,0.0,1.0
20200708,85399,80240,0,0.0,0.9395894565510134,0.0,1.0
20200709,85445,80268,0,0.0,0.9394113172216045,0.0,1.0
20200710,85487,80293,0,0.0,0.9392422239638776,0.0,1.0
20200711,85522,80314,0,0.0,0.9391033886017632,0.0,1.0
20200712,85568,80345,0,0.0,0.9389608264771877,0.0,1.0
20200713,85623,80376,1,1.1679104913399436e-05,0.9387197365193931,1.244137004366921e-05,0.9999875586299564
20200714,85677,80407,0,0.0,0.9384899097774199,0.0,1.0
20200715,85697,80445,2,2.3338039838034004e-05,0.9387143073853227,2.4861088667072733e-05,0.9999751389113329
20200716,85838,80490,0,0.0,0.9376965912532911,0.0,1.0
20200717,85857,80506,1,1.1647273955530708e-05,0.9376754370639552,1.2421280137130932e-05,0.9999875787198629
20200718,85937,80534,1,1.1636431339236882e-05,0.9371283614741032,1.2416961569503942e-05,0.9999875830384305
20200719,86068,80579,0,0.0,0.9362248454710229,0.0,1.0
20200720,86152,80604,0,0.0,0.9356021914755316,0.0,1.0
20200721,86152,80604,0,0.0,0.9356021914755316,0.0,1.0
20200722,86361,80684,2,2.3158601683630342e-05,0.9342643091210153,2.478744763651687e-05,0.9999752125523634
20200723,86361,80684,2,2.3158601683630342e-05,0.9342643091210153,2.478744763651687e-05,0.9999752125523634
20200724,86660,80781,2,2.3078698361412415e-05,0.9321601661666282,2.4757684166223092e-05,0.9999752423158338
20200725,86839,80849,2,2.303112656755605e-05,0.9310217759301697,2.473686163436445e-05,0.9999752631383656
20200726,87028,80899,0,0.0,0.9295743898515421,0.0,1.0
20200727,87245,80906,4,4.584789959309989e-05,0.9273425411198349,4.943764676801384e-05,0.999950562353232
20200728,87457,80957,1,1.1434190516482386e-05,0.9256777616428645,1.2352083796536475e-05,0.9999876479162034
20200729,87680,81034,1,1.1405109489051094e-05,0.9242016423357664,1.234034676374406e-05,0.9999876596532362
20200730,87956,81120,1,1.1369321024148437e-05,0.9222793214789213,1.2327264210253818e-05,0.9999876727357897
20200731,88122,81227,2,2.269580808424684e-05,0.9217562016295591,2.46217483903532e-05,0.9999753782516096
20200801,88301,81348,4,4.529960023102796e-05,0.9212579698984157,4.9169043170419906e-05,0.9999508309568296
20200802,88459,81459,4,4.521868888411581e-05,0.9208672944527974,4.910204632778071e-05,0.9999508979536722
20200803,88574,81554,3,3.386998441980717e-05,0.9207442364576512,3.678408965508785e-05,0.9999632159103449
20200804,88682,81675,4,4.510498184524481e-05,0.9209873480525924,4.897219603570073e-05,0.9999510278039643
20200805,88682,81675,4,4.510498184524481e-05,0.9209873480525924,4.897219603570073e-05,0.9999510278039643
20200806,88937,82033,4,4.497565692568897e-05,0.9223720161462609,4.875848702414764e-05,0.9999512415129759
20200807,89057,82229,1,1.1228763600839911e-05,0.923330002133465,1.2161011796181442e-05,0.9999878389882039
20200808,89149,82410,0,0.0,0.9244074526915613,0.0,1.0
20200809,89270,82566,5,5.600985773496135e-05,0.9249019827489638,6.05539475118383e-05,0.9999394460524882
20200810,89383,82688,3,3.3563429287448393e-05,0.9250976136401776,3.6279643492036616e-05,0.9999637203565079
20200811,89383,82688,3,3.3563429287448393e-05,0.9250976136401776,3.6279643492036616e-05,0.9999637203565079
20200812,89526,83083,8,8.935951567142506e-05,0.928032080066126,9.627998218820329e-05,0.9999037200178118
20200813,89625,83254,3,3.3472803347280334e-05,0.9289149232914923,3.603300623371008e-05,0.9999639669937663
20200814,89695,83406,1,1.1148893472322871e-05,0.9298846089525614,1.1989401369189636e-05,0.9999880105986308
20200815,89761,83558,2,2.2281391695725316e-05,0.9308942636557079,2.3934897079942555e-05,0.99997606510292
20200816,89859,83647,0,0.0,0.9308694732859257,0.0,1.0
20200817,89926,83736,0,0.0,0.9311656250695016,0.0,1.0
20200818,89980,83858,2,2.222716159146477e-05,0.9319626583685263,2.3849272597185786e-05,0.9999761507274029
20200819,89980,83858,2,2.222716159146477e-05,0.9319626583685263,2.3849272597185786e-05,0.9999761507274029
20200820,90053,84120,4,4.4418287008761505e-05,0.9341165757942544,4.7548856450002375e-05,0.99995245114355
20200821,90103,84250,0,0.0,0.9350410086234643,0.0,1.0
20200822,90141,84371,1,1.1093730932649959e-05,0.9359891725186097,1.1852273266012421e-05,0.999988147726734
20200823,90182,84445,1,1.1088687321194916e-05,0.9363842008383048,1.1841887123131942e-05,0.9999881581128769
20200824,90205,84513,0,0.0,0.9368992849620309,0.0,1.0
20200825,90239,84625,1,1.1081683086027105e-05,0.9377874311550438,1.1816699359534895e-05,0.9999881833006404
20200826,90271,84713,1,1.107775476066511e-05,0.9384298390402234,1.1804424298226976e-05,0.9999881955757017
20200827,90301,84797,2,2.214814896844996e-05,0.9390482940388257,2.3585183787544664e-05,0.9999764148162125
20200828,90323,84881,3,3.3214131505818006e-05,0.9397495654484461,3.534234955939871e-05,0.9999646576504406
20200829,90351,84946,3,3.320383836371484e-05,0.940177751214707,3.531530683115752e-05,0.9999646846931688
